1,0,0,1,92.4064,31.2117,0,2,0,2,0,2,0,2
1,0,0,2,91.6238,28.4371,0,2,0,2,0,2,2,4
1,1,3,1,96.6461,36.1012,0,2,0,2,2,4,0,2
0,1,3,3,91.0840,28.3495,0,2,0,2,2,4,2,4
0,1,4,0,95.1278,55.6665,0,2,0,2,4,5,0,2
1,0,4,3,94.8242,31.6324,0,2,0,2,4,5,2,4
0,3,1,0,89.2472,42.6655,0,2,2,4,0,2,0,2
1,2,0,2,89.4383,28.7374,0,2,2,4,0,2,2,4
1,3,2,1,95.5414,35.9005,0,2,2,4,2,4,0,2
1,3,2,2,94.7587,29.9132,0,2,2,4,2,4,2,4
1,3,4,0,97.6038,74.4429,0,2,2,4,4,5,0,2
0,2,4,3,92.8613,34.5389,0,2,2,4,4,5,2,4
3,0,1,1,96.3177,31.0394,2,4,0,2,0,2,0,2
2,0,0,2,92.7710,28.5515,2,4,0,2,0,2,2,4
3,1,2,0,96.6054,43.0285,2,4,0,2,2,4,0,2
3,1,3,3,97.1191,30.0339,2,4,0,2,2,4,2,4
3,1,4,0,96.6154,68.5622,2,4,0,2,4,5,0,2
2,0,4,3,96.2598,31.2190,2,4,0,2,4,5,2,4
2,2,1,0,95.2077,39.9254,2,4,2,4,0,2,0,2
2,3,0,3,88.4375,26.7894,2,4,2,4,0,2,2,4
2,2,3,1,96.8252,39.3168,2,4,2,4,2,4,0,2
2,2,2,2,95.7377,31.7964,2,4,2,4,2,4,2,4
2,3,4,1,97.4622,54.3359,2,4,2,4,4,5,0,2
3,3,4,2,96.7069,43.0523,2,4,2,4,4,5,2,4
4,0,1,0,95.5172,37.3481,4,5,0,2,0,2,0,2
4,1,0,2,94.3928,27.3163,4,5,0,2,0,2,2,4
4,0,3,1,96.2082,35.2828,4,5,0,2,2,4,0,2
4,1,3,3,96.9824,28.3196,4,5,0,2,2,4,2,4
4,1,4,1,95.8201,48.0204,4,5,0,2,4,5,0,2
4,0,4,2,96.4300,33.8000,4,5,0,2,4,5,2,4
4,2,1,0,95.3774,40.1188,4,5,2,4,0,2,0,2
4,3,1,3,95.4395,26.3118,4,5,2,4,0,2,2,4
4,3,2,0,95.6869,44.6108,4,5,2,4,2,4,0,2
4,2,2,3,96.7383,27.5522,4,5,2,4,2,4,2,4
4,3,4,0,95.0579,92.5106,4,5,2,4,4,5,0,2
4,2,4,2,96.4102,39.9235,4,5,2,4,4,5,2,4
0,2,4,0,95.5970,61.0870,0,1,2,3,4,5,0,1
0,2,4,1,94.8348,45.0537,0,1,2,3,4,5,1,2
0,3,4,0,96.0962,69.3892,0,1,3,4,4,5,0,1
0,3,4,1,95.1035,50.2444,0,1,3,4,4,5,1,2
1,2,4,0,97.6038,64.0361,1,2,2,3,4,5,0,1
1,2,4,1,97.1338,46.5706,1,2,2,3,4,5,1,2
1,3,4,0,97.3442,71.6212,1,2,3,4,4,5,0,1
1,3,4,1,97.0939,52.0120,1,2,3,4,4,5,1,2
1,2,4,0,97.5739,65.0857,1,2,2,3,4,5,0,1
1,2,4,0,97.3742,68.2339,1,2,2,3,4,5,0,1
1,2,4,0,97.0847,65.6548,1,2,2,3,4,5,0,1
1,2,4,0,97.6338,66.7167,1,2,2,3,4,5,0,1
1,2,4,0,97.5839,64.4491,1,2,2,3,4,5,0,1
1,2,4,0,97.6538,63.0790,1,2,2,3,4,5,0,1
1,2,4,0,97.7236,62.9814,1,2,2,3,4,5,0,1
1,2,4,0,97.6837,62.9981,1,2,2,3,4,5,0,1
